OBJECTID,CATEGORY,NAME,ADDRESS,CITY,ZIPCODE,PHONE,URL,DATA,POINT_X,POINT_Y,LATITUDE,LONGITUDE
19,FIRE STATION,Station  8 - Gaithersburg,801 Russell Ave,Gaithersburg,20879,240-773-4708,http://www.montgomerycountymd.gov/mcfrs/,8,1252931.625,542144.0626,39.15510789,-77.2094751
20,FIRE STATION,Station 28 - Gaithersburg,7272 Muncaster Mill Rd,Derwood,20855,240-773-4728,http://www.montgomerycountymd.gov/mcfrs/,28,1270662.125,539523.4374,39.14800774,-77.14693525
21,FIRE STATION,Station 10 - Cabin John,"8001 River Road
",Bethesda,20817,240-773-4710,http://www.montgomerycountymd.gov/mcfrs/,10,1265754.375,483757.4062,38.9948707,-77.16388723
22,FIRE STATION,Station  4 - Sandy Spring,17921 Brooke Rd,Sandy Spring,20860,240-773-4704,http://www.montgomerycountymd.gov/mcfrs/,4,1304643.875,540374.875,39.15043439,-77.02711444
23,FIRE STATION,Station  1 - Silver Spring,8110 Georgia Ave,Silver Spring,20910,240-773-4701,http://www.montgomerycountymd.gov/mcfrs/,1,1304640.401,482250.4039,38.99084458,-77.02706593
24,FIRE STATION,Station 35 - Clarksburg,22610 Gateway Center Dr Suite 300,Clarksburg,20871,240-773-4735,http://www.montgomerycountymd.gov/mcfrs/,35,1232678.08,570426.7941,39.23261045,-77.28120433
25,FIRE STATION,Station 34 - Germantown/Milestone,20633 Boland Farm Rd,Germantown,20876,240-773-4734,http://www.montgomerycountymd.gov/mcfrs/,34,1243101.642,556627.0032,39.19480486,-77.2442762
26,FIRE STATION,Station 32 - Travilah,9615 Darnestown Rd,Rockville,20850,240-773-4732,http://www.montgomerycountymd.gov/mcfrs/,32,1256417.862,519888.6874,39.09402452,-77.19701184
27,FIRE STATION,Station R2 - Wheaton Rescue,2400 Arcola Ave,Wheaton,20902,240-773-4742,http://www.montgomerycountymd.gov/mcfrs/,R2,1297682.971,502613.8448,39.04674802,-77.0515846
28,FIRE STATION,Station 13 - Damascus,26334 Ridge Rd,Damascus,20872,240-773-4713,http://www.montgomerycountymd.gov/mcfrs/,13,1254282.75,590980.4374,39.28919871,-77.2050974
29,FIRE STATION,Station  9 - Hyattstown,25801 Frederick Rd,Clarksburg,20871,240-773-4709,http://www.montgomerycountymd.gov/mcfrs/,9,1223262.25,587797.9375,39.28021873,-77.31465585
30,FIRE STATION,Station 17 - Laytonsville,21400 Laytonsville Rd,Laytonsville,20882,240-773-4717,http://www.montgomerycountymd.gov/mcfrs/,17,1272168.25,561039.0624,39.20708716,-77.14174237
31,FIRE STATION,Station 29 - Germantown,20001 Crystal Rock Dr,Germantown,20874,240-773-4729,http://www.montgomerycountymd.gov/mcfrs/,29,1237715.625,553106.9999,39.18509935,-77.26324424
32,FIRE STATION,Station 14 - Upper Montgomery,19801 Beallsville Rd,Beallsville,20839,240-773-4714,http://www.montgomerycountymd.gov/mcfrs/,14,1195647.5,551480.9376,39.18020796,-77.41162908
33,FIRE STATION,Station 40 - Sandy Spring,16911 Georgia Ave,Olney,20832,240-773-4740,http://www.montgomerycountymd.gov/mcfrs/,40,1292698.75,534410.6876,39.13404176,-77.06921915
34,FIRE STATION,Station 31 - Rockville,12100 Darnestown Rd,North Potomac,20878,240-773-4731,http://www.montgomerycountymd.gov/mcfrs/,31,1241255,527978.0624,39.11613287,-77.25051444
35,FIRE STATION,Station 25 - Kensington,14401 Connecticut Ave,Layhill,20906,240-773-4725,http://www.montgomerycountymd.gov/mcfrs/,25,1292723,519166.375,39.09218659,-77.06909298
36,FIRE STATION,Station  3 - Rockville,380 Hungerford Dr,Rockville,20850,240-773-4703,http://www.montgomerycountymd.gov/mcfrs/,3,1269538.875,517530.6876,39.08761892,-77.15076782
37,FIRE STATION,Station 24 - Hillandale,13216 New Hampshire Ave,Silver Spring,20904,240-773-4724,http://www.montgomerycountymd.gov/mcfrs/,24,1311411.5,512177.4063,39.07301766,-77.00324704
38,FIRE STATION,Station 27 - Public Safety Training Academy,8751 Snouffer School Rd,Gaithersburg,20879,240-773-8200,http://www.montgomerycountymd.gov/mcfrs/,27,,,,
